SN,Counterparty,Currency,Asset Specification,Purchase Consideration (ACY),Purchase Consideration (LCY),Redemption Value (ACY),Redemption Value (LCY),Carrying Amount (ACY),FX Rate,Carrying Amount (LCY),Collateral Amount,Collateral Type,Origination Date,Maturity Date,Last Coupon Date,EIR,Coupon Rate,Rating at Origination,Rating Agency at Origination,Rating at Reporting,Rating Agency at Reporting,Coupon Repayment,Performance Status,Days Past Due,Qualitative Staging Override
1,Ecobank Nigeria 7.125% Feb-26,USD,Corporate,203850,149829750,200000,147000000,203850,735,149829750,0,UNSECURED,16/06/2021,16/02/2026,16/08/2021,0.0713,0.0713,B-,Moody's,B1,Moody's,SEMI-ANNUALLY,Performing,0,0
2,Ecobank Transnational 8.75% June-31,USD,Corporate,207000,152145000,200000,147000000,207000,735,152145000,0,UNSECURED,17/06/2021,17/06/2031,17/12/2021,0.0875,0.0875,B-,S&P,AAA,Agusto,SEMI-ANNUALLY,Performing,0,0
3,Ecobank Nigeria 7.125% Feb-26,USD,Corporate,9968.54,7326878.13,10000,7350000,9968.54,735,7326878.13,0,UNSECURED,08/09/2021,16/02/2026,16/02/2022,0.0713,0.0713,B-,S&P,B-,S&P,SEMI-ANNUALLY,Performing,0,0
4,Ghana 10.75% 14/10/30,USD,Sovereign FCY,475375.83,349401237.5,420000,308700000,475375.83,735,349401237.5,0,UNSECURED,04/02/2022,14/10/2030,14/04/2022,0.1075,0.1075,CCC,S&P,CCC,S&P,SEMI-ANNUALLY,Watchlist,0,0
5,Nigeria 9.248% 21-Jan-49,USD,Sovereign FCY,47385.90,34828636.91,50000,36750000,47385.90,735,34828636.91,0,UNSECURED,11/03/2022,21/01/2049,21/07/2022,0.0925,0.0925,B-,S&P,B-,S&P,SEMI-ANNUALLY,Performing,0,0
6,Ghana 8.125% 18/01/2026,USD,Sovereign FCY,722765.47,531232618.82,909000,668115000,722765.47,735,531232618.82,0,UNSECURED,25/03/2022,18/01/2026,18/07/2022,0.0813,0.0813,CCC,S&P,CCC,S&P,SEMI-ANNUALLY,Watchlist,0,0
7,Ghana 7.875% 26/03/27,USD,Sovereign FCY,1595.06,1172370.94,2000,1470000,1595.06,735,1172370.94,0,UNSECURED,19/04/2022,26/03/2027,26/09/2022,0.0788,0.0788,CCC,S&P,CCC,S&P,SEMI-ANNUALLY,Watchlist,0,0
8,Ghana 0% 04/07/25,USD,Sovereign FCY,1305000,959175000,2000000,1470000000,1305000,735,959175000,0,UNSECURED,21/04/2022,07/04/2025,07/10/2022,0,0,CCC,S&P,CCC,S&P,BULLET,Watchlist,0,0
9,Ghana 7.75% 04/07/29,USD,Sovereign FCY,630462.50,463389937.5,900000,661500000,630462.50,735,463389937.5,0,UNSECURED,21/04/2022,07/04/2029,07/10/2022,0.0775,0.0775,CCC,S&P,CCC,S&P,SEMI-ANNUALLY,Watchlist,0,0
10,Ghana 7.875% 26/03/27,USD,Sovereign FCY,637776.56,468765773.44,798000,586530000,637776.56,735,468765773.44,0,UNSECURED,21/04/2022,26/03/2027,26/09/2022,0.0788,0.0788,CCC,S&P,CCC,S&P,SEMI-ANNUALLY,Watchlist,0,0
